,index,series_title,runtime_of_series,genre,imdb_rating,no_of_votes,index,type,title,release_year,season_count
168,1778,The Letter for the King,(2020– ),"Action, Adventure, Family",5.9,6085,964,TV Show,The Letter for the King,2020,1
169,900,Kingdom,(2014–2017),Drama,8.5,15207,974,TV Show,Kingdom,2020,2
170,1398,The Valhalla Murders,(2019– ),"Crime, Drama, Mystery",7.1,8529,975,TV Show,The Valhalla Murders,2020,1
171,1472,Dirty Money,(2018– ),"Documentary, Crime",8.1,7914,976,TV Show,Dirty Money,2020,2
172,1175,On My Block,(2018– ),Comedy,8.0,10658,977,TV Show,On My Block,2020,3
173,1982,Velvet,(2013–2016),"Adventure, Drama, Romance",8.1,5159,981,TV Show,Velvet,2016,4
174,834,Akame ga Kill!,(2014),"Animation, Action, Comedy",7.9,16742,982,TV Show,Akame ga Kill!,2014,1
175,755,Babylon Berlin,(2017– ),"Crime, Drama, Thriller",8.4,19049,983,TV Show,Babylon Berlin,2020,3
176,1986,Toy Boy,(2019),"Crime, Drama, Thriller",6.4,5150,987,TV Show,Toy Boy,2019,1
177,101,Altered Carbon,(2018–2020),"Action, Drama, Sci-Fi",8.0,142763,989,TV Show,Altered Carbon,2020,2
178,263,Narcos: Mexico,(2018– ),"Crime, Drama",8.4,60913,1006,TV Show,Narcos: Mexico,2020,2
179,1078,We Bare Bears,(2014–2019),"Animation, Adventure, Comedy",7.9,11899,1009,TV Show,We Bare Bears,2018,2
180,30,Better Call Saul,(2015–2021),"Crime, Drama",8.7,324868,1010,TV Show,Better Call Saul,2018,4
181,377,Locke & Key,(2020– ),"Drama, Fantasy, Horror",7.4,41619,1013,TV Show,Locke & Key,2020,1
182,18,Arrow,(2012–2020),"Action, Adventure, Crime",7.5,407897,1017,TV Show,Arrow,2019,8
183,1914,Miraculous: Tales of Ladybug & Cat Noir,(2015– ),"Animation, Action, Adventure",7.8,5466,1022,TV Show,Miraculous: Tales of Ladybug & Cat Noir,2019,5
184,462,The Ranch,(2016–2020),"Comedy, Drama, Western",7.5,33832,1038,TV Show,The Ranch,2020,8
185,1397,October Faction,(2020),"Adventure, Drama, Fantasy",6.1,8552,1039,TV Show,October Faction,2020,1
186,1670,AJ and the Queen,(2020),"Adventure, Comedy, Drama",7.5,6596,1054,TV Show,AJ and the Queen,2020,1
187,545,Dracula,(2013–2014),"Drama, Horror, Romance",7.4,28097,1062,TV Show,Dracula,2020,1
188,417,Messiah,(2020),"Drama, Mystery, Thriller",7.6,37775,1071,TV Show,Messiah,2020,1
189,1195,Spinning Out,(2020),"Drama, Sport",7.6,10428,1076,TV Show,Spinning Out,2020,1
190,100,You,(2018– ),"Crime, Drama, Romance",7.7,144170,1088,TV Show,You,2019,2
191,1667,Lost in Space,(1965–1968),"Adventure, Comedy, Family",7.3,6611,1090,TV Show,Lost in Space,2019,2
192,643,Private Practice,(2007–2013),"Comedy, Drama, Romance",6.7,22520,1091,TV Show,Private Practice,2012,6
193,35,The Witcher,(2019– ),"Action, Adventure, Fantasy",8.2,301304,1093,TV Show,The Witcher,2019,1
194,587,Fuller House,(2016–2020),"Comedy, Family",6.8,24870,1106,TV Show,Fuller House,2020,5
195,1099,Nightflyers,(2018),"Drama, Horror, Mystery",5.9,11691,1116,TV Show,Nightflyers,2018,1
196,835,The Dragon Prince,(2018– ),"Animation, Adventure, Drama",8.4,16736,1135,TV Show,The Dragon Prince,2019,3
197,1528,Sam & Cat,(2013–2020),"Comedy, Drama, Family",5.7,7538,1164,TV Show,Sam & Cat,2014,2
198,99,The End of the F***ing World,(2017–2019),"Adventure, Comedy, Crime",8.1,146542,1165,TV Show,The End of the F***ing World,2019,2
199,712,Victorious,(2010–2013),"Comedy, Drama, Family",6.9,20250,1169,TV Show,Victorious,2013,3
200,133,BoJack Horseman,(2014–2020),"Animation, Comedy, Drama",8.7,113345,1192,TV Show,BoJack Horseman,2020,6
201,1633,Brotherhood,(2006–2008),"Crime, Drama",7.7,6821,1193,TV Show,Brotherhood,2019,1
202,899,Daybreak,(I) (2019),"Action, Adventure, Comedy",6.7,15263,1199,TV Show,Daybreak,2019,1
203,641,Insatiable,(2018–2019),"Comedy, Drama, Thriller",6.5,22623,1214,TV Show,Insatiable,2019,2
204,26,Peaky Blinders,(2013– ),"Crime, Drama",8.8,350627,1222,TV Show,Peaky Blinders,2019,5
205,1361,Raising Dion,(2019– ),"Drama, Sci-Fi",7.2,8809,1223,TV Show,Raising Dion,2019,1
206,656,College Romance,(2018– ),"Comedy, Drama, Romance",8.9,22087,1230,TV Show,College Romance,2018,1
207,66,Gotham,(2014–2019),"Action, Crime, Drama",7.8,212039,1237,TV Show,Gotham,2019,5
208,1374,Bard of Blood,(2019– ),"Action, Adventure, Drama",6.8,8711,1238,TV Show,Bard of Blood,2019,1
209,911,Glitch,(2015–2019),"Drama, Sci-Fi",7.3,14961,1242,TV Show,Glitch,2019,3
210,1088,Marianne,(2019),"Drama, Horror",7.5,11814,1253,TV Show,Marianne,2019,1
211,995,Top Boy,(2011– ),"Crime, Drama, Thriller",8.4,13270,1254,TV Show,Top Boy,2019,1
212,227,Naruto,(2002–2007),"Animation, Action, Adventure",8.3,71299,1261,TV Show,Naruto,2006,9
213,681,The Dark Crystal: Age of Resistance,(2019),"Adventure, Drama, Family",8.5,21388,1265,TV Show,The Dark Crystal: Age of Resistance,2019,1
214,212,Sacred Games,(2018–2019),"Action, Crime, Drama",8.6,75517,1281,TV Show,Sacred Games,2019,2
215,826,Knightfall,(2017–2019),"Action, Adventure, Drama",6.8,17044,1284,TV Show,Knightfall,2019,2
216,389,GLOW,(2017–2019),"Comedy, Drama, Sport",8.0,40369,1286,TV Show,GLOW,2019,3
217,1265,Wu Assassins,(2019– ),"Action, Crime, Drama",6.4,9789,1299,TV Show,Wu Assassins,2019,1
218,592,Another Life,(2019– ),"Adventure, Drama, Mystery",5.0,24655,1306,TV Show,Another Life,2019,1
219,1141,Comedians in Cars Getting Coffee,(2012– ),"Comedy, Talk-Show",8.1,11083,1309,TV Show,Comedians in Cars Getting Coffee,2019,6
220,1085,Angel Beats!,(2010),"Animation, Action, Comedy",7.7,11828,1315,TV Show,Angel Beats!,2010,1
221,4,Stranger Things,(2016– ),"Drama, Fantasy, Horror",8.7,824966,1328,TV Show,Stranger Things,2019,3
222,494,Shooter,(2016–2018),"Action, Drama",7.5,31577,1352,TV Show,Shooter,2018,3
223,1217,Fate/Zero,(2011–2012),"Animation, Action, Drama",8.3,10190,1355,TV Show,Fate/Zero,2012,2
224,1476,Leila,(2019– ),"Drama, Sci-Fi",4.8,7897,1365,TV Show,Leila,2019,1
225,1293,Jinn,(2019– ),"Drama, Fantasy, Horror",3.5,9506,1369,TV Show,Jinn,2019,1
226,206,Designated Survivor,(2016–2019),"Action, Drama, Mystery",7.5,77717,1371,TV Show,Designated Survivor,2019,3
227,1729,Tales of the City,(2019),Drama,7.4,6327,1373,TV Show,Tales of the City,2019,1
228,13,Black Mirror,(2011– ),"Drama, Sci-Fi, Thriller",8.8,445745,1374,TV Show,Black Mirror,2019,5
229,1937,Documentary Now!,(2015– ),Comedy,8.1,5379,1375,TV Show,Documentary Now!,2019,3
230,1534,Bad Blood,(2017– ),"Crime, Drama",7.5,7486,1380,TV Show,Bad Blood,2019,2
231,1303,White Gold,(2017–2019),Comedy,7.4,9384,1391,TV Show,White Gold,2019,2
232,1062,Easy,(2016– ),Comedy,6.9,12118,1397,TV Show,Easy,2019,3
233,726,The Society,(2019),"Drama, Mystery, Sci-Fi",7.1,19913,1401,TV Show,The Society,2019,1
234,1564,Chambers,(2019),"Drama, Fantasy, Horror",6.5,7242,1430,TV Show,Chambers,2019,1
235,829,Crazy Ex-Girlfriend,(2015–2019),"Comedy, Musical",7.8,16990,1438,TV Show,Crazy Ex-Girlfriend,2019,4
236,76,New Girl,(2011–2018),Comedy,7.7,192778,1440,TV Show,New Girl,2018,7
237,539,Derek,(2012–2014),"Comedy, Drama",8.0,28354,1444,TV Show,Derek,2015,3
238,1168,Imposters,(2017– ),"Comedy, Crime, Drama",7.8,10762,1445,TV Show,Imposters,2017,2
239,274,Santa Clarita Diet,(2017–2019),"Comedy, Horror",7.8,57425,1459,TV Show,Santa Clarita Diet,2019,3
